date,dsa_count,news_count,sentiment_mean,sentiment_min,sentiment_max,sentiment_std,sentiment_neg_mean,sentiment_pos_mean,negative_news_pct,positive_news_pct
2025-04-25,3391886,25,-0.187944,-0.9661,0.7506,0.5195834693906264,0.09584000000000001,0.043440000000000006,0.6,0.28
2025-04-26,3466467,25,-0.32314400000000004,-0.9274,0.6908,0.47669134842579214,0.12836,0.06,0.64,0.2
2025-04-27,3613186,25,0.16904,-0.9382,0.9274,0.5990944793603092,0.065,0.11124,0.32,0.6
2025-04-28,3628971,25,-0.23561200000000004,-0.9001,0.6486,0.49656942340019283,0.09879999999999999,0.04532,0.56,0.2
2025-04-29,3090053,25,0.009436,-0.9648,0.8689,0.54438002967045,0.08392,0.08148,0.4,0.44
2025-04-30,3386292,25,-0.296068,-0.936,0.6908,0.48312776754808867,0.12356,0.047040000000000005,0.64,0.24
2025-05-01,2601079,25,-0.029883999999999994,-0.8807,0.8481,0.4966072908687507,0.08616,0.08344,0.4,0.4
2025-05-02,1936982,25,-0.21322400000000002,-0.9136,0.8402,0.576828367041705,0.10672000000000001,0.0516,0.56,0.24
2025-05-03,1926880,25,0.0055800000000000025,-0.9816,0.8689,0.5694700244964611,0.08444000000000002,0.07932,0.32,0.52
2025-05-04,2067368,25,-0.024783999999999997,-0.8923,0.7506,0.4509056111249892,0.06863999999999999,0.05156000000000001,0.4,0.4
2025-05-05,1777598,25,-0.032332,-0.9287,0.802,0.5852408015304469,0.08280000000000001,0.06756000000000001,0.52,0.4
2025-05-06,1891232,25,-0.23562800000000003,-0.959,0.8126,0.5033366710423551,0.1158,0.05036,0.64,0.2
2025-05-07,2002392,25,-0.15252,-0.9859,0.93,0.5073038292778796,0.10856000000000002,0.0696,0.52,0.2
2025-05-08,1978602,25,0.174068,-0.926,0.9643,0.601939005361839,0.0766,0.13812000000000002,0.24,0.6
2025-05-09,1751670,25,-0.270664,-0.9413,0.7906,0.5575648625083901,0.13216,0.05776,0.6,0.32
2025-05-10,1876764,25,0.06807600000000001,-0.836,0.8555,0.49054293535224824,0.06416000000000001,0.08248000000000001,0.44,0.36
2025-05-11,1918945,25,0.320004,-0.9246,0.8934,0.5560632557398484,0.06376,0.141,0.24,0.72
2025-05-12,1784684,25,0.09084400000000001,-0.8957,0.891,0.5714339066453793,0.07348,0.11019999999999998,0.36,0.52
2025-05-13,1821697,25,-0.003615999999999997,-0.836,0.7783,0.48943923641653414,0.07616,0.07684,0.4,0.4
2025-05-14,1878407,25,-0.184176,-0.8979,0.875,0.5581905719590756,0.10815999999999999,0.06896,0.56,0.36
2025-05-15,1769587,25,-0.03074,-0.8658,0.839,0.48931470037185676,0.09312,0.08120000000000001,0.44,0.4
2025-05-16,1953588,25,0.004627999999999992,-0.9432,0.9413,0.6072464247865111,0.1114,0.09707999999999999,0.36,0.48
2025-05-17,1991469,25,-0.08244800000000002,-0.9517,0.9422,0.6961718731003141,0.14043999999999998,0.10604000000000001,0.56,0.44
2025-05-18,2215162,25,0.08910400000000002,-0.8885,0.9403,0.6349229405085313,0.09412000000000001,0.11495999999999999,0.36,0.52
2025-05-19,2083828,25,0.057308000000000005,-0.8932,0.891,0.5516811353816623,0.07676,0.07916000000000001,0.36,0.52
2025-05-20,1922936,25,-0.07468399999999999,-0.8807,0.8271,0.585467937759191,0.10032,0.07408000000000001,0.48,0.44
2025-05-21,1923434,25,0.066344,-0.9169,0.9587,0.6929648453305549,0.09276,0.1168,0.44,0.48
2025-05-22,1877496,25,-0.17903199999999997,-0.9753,0.8674,0.6412736693300295,0.12968,0.07368,0.56,0.32
2025-05-23,2013824,25,-0.004128000000000012,-0.9413,0.936,0.691311870298782,0.107,0.09332000000000001,0.4,0.44
2025-05-24,1965660,25,-0.15859199999999998,-0.9325,0.9571,0.6182076207359467,0.121,0.08728000000000001,0.56,0.36
